Date,Category,Internal SKU,City,State,Region,Units,GMV,Platform,,date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
31/10/2025,Tea Bag,Chaayos Detox Kahwa Tea Bag,Gurgaon,Haryana,Delhi NCR,1,209,Big Basket,,20251001 - 20251031,Gurgaon,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,1,209,199
31/10/2025,Premix,Chaayos Adrak Elaichi Premix Pack of 15,Chennai,Tamil Nadu,South,1,186,Big Basket,,20251001 - 20251031,Chennai,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,1,186,186
31/10/2025,Chai Patti,Chaayos Masala Tea 100g,Bangalore,Karnataka,South,1,199,Big Basket,,20251001 - 20251031,Bangalore Rural,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,1,199,129
31/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Bangalore,Karnataka,South,50,9450,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,50,9450,7892.99
31/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Hyderabad,Telangana,South,16,1904,Big Basket,,20251001 - 20251031,Hyderabad,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348265,Chaayos instant-lemon-iced-tea-premix 220 g  (20 g x 10),220 g,16,1904,1395.6
31/10/2025,Tea Bag,Chaayos Detox Kahwa Tea Bag,Mumbai,Maharashtra,West,6,1254,Big Basket,,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,6,1254,1088.6
31/10/2025,Discontinue,Discontinue,Noida,Uttar Pradesh,Delhi NCR,2,1998,Big Basket,,20251001 - 20251031,Noida,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357177,Chaayos pink-festival-gift-box-set-with-tea-snacks 1 pc  (Set of 5),1 pc,2,1998,1798
31/10/2025,Tea Bag,Chaayos Masala Tea Bag,Hyderabad,Telangana,South,1,159,Big Basket,,20251001 - 20251031,Hyderabad Rural,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,1,159,149
31/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Chennai,Tamil Nadu,South,2,750,Big Basket,,20251001 - 20251031,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,2,750,358
31/10/2025,Discontinue,Discontinue,Chennai,Tamil Nadu,South,2,750,Big Basket,,20251001 - 20251031,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,2,750,450
