Date,Category,Internal SKU,City,State,Region,Units,GMV,Platform,,BrandName_gsheet,order_date_time,city,product_id,analytic_business_unit,analytic_super_category,analytic_vertical,brand_csv,units,mrp
03/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Delhi,Delhi,Delhi NCR,2,318,Flipkart Minutes,,Chaayos,03/10/2025 00:00:00,Delhi,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,2,318
04/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Pune,Maharashtra,West,1,189,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Pune,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189
04/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Bangalore,Karnataka,South,1,119,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Bangalore,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,1,119
04/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Chennai,Tamil Nadu,South,1,139,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Chennai,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139
04/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Delhi,Delhi,Delhi NCR,4,556,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Delhi,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,4,556
04/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Jaipur,Rajasthan,West,1,139,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Jaipur,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139
04/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Delhi,Delhi,Delhi NCR,3,357,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Delhi,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,3,357
04/10/2025,Chai Patti,Chaayos Masala Tea 100g,Mumbai,Maharashtra,West,4,556,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Mumbai,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,4,556
04/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Lucknow,Uttar Pradesh,North,1,139,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Lucknow,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139
04/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Bangalore,Karnataka,South,2,278,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Bangalore,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,2,278
04/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Kolkata,West Bengal,East,1,119,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Kolkata,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,1,119
04/10/2025,Chai Patti,Chaayos Masala Tea 100g,Jaipur,Rajasthan,West,1,139,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Jaipur,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139
04/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Delhi,Delhi,Delhi NCR,3,567,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Delhi,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,3,567
04/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Delhi,Delhi,Delhi NCR,7,973,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Delhi,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,7,973
04/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Mumbai,Maharashtra,West,4,756,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Mumbai,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,4,756
04/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Mumbai,Maharashtra,West,1,119,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Mumbai,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,1,119
04/10/2025,Discontinue,Discontinue,Delhi,Delhi,Delhi NCR,1,349,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Delhi,TEAH35UPN3ZB4CPY,BGM,FoodAndNutrition,Tea,Chaayos,1,349
04/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Bangalore,Karnataka,South,4,756,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Bangalore,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,4,756
04/10/2025,Chai Patti,Chaayos Masala Tea 100g,Delhi,Delhi,Delhi NCR,3,417,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Delhi,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,3,417
04/10/2025,Chai Patti,Chaayos Masala Tea 100g,Patna,Bihar,East,2,278,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Patna,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,2,278
04/10/2025,Chai Patti,Chaayos Masala Tea 100g,Kolkata,West Bengal,East,1,139,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Kolkata,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139
04/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Mumbai,Maharashtra,West,2,378,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Mumbai,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,2,378
04/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Mumbai,Maharashtra,West,2,278,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Mumbai,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,2,278
04/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Pune,Maharashtra,West,2,378,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Pune,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,2,378
04/10/2025,Chai Patti,Chaayos Masala Tea 100g,Bangalore,Karnataka,South,1,139,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Bangalore,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139
04/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Delhi,Delhi,Delhi NCR,1,189,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Delhi,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,1,189
04/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Patna,Bihar,East,1,189,Flipkart Minutes,,Chaayos,04/10/2025 00:00:00,Patna,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,1,189
