start_date,end_date,date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,BB_identifier,sku_description,sku_weight,total_quantity,total_mrp,total_sales,internal_id,internal_name,Category
2025-10-01,2025-10-31,20251001 - 20251031,Visakhapatnam,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,3,557,447.0,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,21,6909,6018.75,5749.0,Chaayos Masala Tea 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Pune,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,1,190,190.0,5749.0,Chaayos Masala Tea 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Coimbatore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194559,Chaayos tea-blendchai-adrak-elaichi-premium-flavoured 100 g,100 g,1,199,129.0,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Visakhapatnam,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,1,375,179.0,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357176,Chaayos green-festival-gift-box-set-with-tea-snacks 1 pc,1 pc,1,1599,1499.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,35,5915,5194.37,5753.0,Chaayos Combo Premix Pack of 12,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,55,10945,7807.4,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Gurgaon,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,1,209,199.0,3672.0,Chaayos Detox Kahwa Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Chennai,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,1,186,186.0,5742.0,Chaayos Adrak Elaichi Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore Rural,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,1,199,129.0,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,50,9450,7892.99,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348265,Chaayos instant-lemon-iced-tea-premix 220 g  (20 g x 10),220 g,16,1904,1395.6,5916.0,Chaayos Lemon Iced Tea Premix,Ice Tea
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,6,1254,1088.6,3672.0,Chaayos Detox Kahwa Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Noida,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357177,Chaayos pink-festival-gift-box-set-with-tea-snacks 1 pc  (Set of 5),1 pc,2,1998,1798.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad Rural,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,1,159,149.0,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,2,750,358.0,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,2,750,450.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Gurgaon,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357176,Chaayos green-festival-gift-box-set-with-tea-snacks 1 pc,1 pc,1,1599,1499.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,beverages,tea,leaf-dust-tea,40348266,Chaayos adrakh-elaichi-instant-chai-tea 250 g,250 g,32,9568,9254.05,5751.0,Chaayos Adrak Elaichi 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,23,4807,4111.39,5742.0,Chaayos Adrak Elaichi Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,4,796,496.8,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Coimbatore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,2,318,318.0,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,12,2148,1838.3,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Pune,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348264,Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10),220 g,2,212,198.0,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-01,2025-10-31,20251001 - 20251031,Gurgaon,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,1,189,179.0,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Noida,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357176,Chaayos green-festival-gift-box-set-with-tea-snacks 1 pc,1 pc,2,3198,2998.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,34,7106,6471.42,5742.0,Chaayos Adrak Elaichi Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,5,1875,1421.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Pune,Chaayos,beverages,tea,leaf-dust-tea,40348266,Chaayos adrakh-elaichi-instant-chai-tea 250 g,250 g,1,200,200.0,5751.0,Chaayos Adrak Elaichi 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,14,5250,2506.0,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348264,Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10),220 g,30,3570,2770.12,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-11-01,2025-11-30,20251101 - 20251130,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,19,3971,3596.15,3672.0,Chaayos Detox Kahwa Tea Bag,Tea Bag
2025-11-01,2025-11-30,20251101 - 20251130,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,4,1500,1425.0,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-11-01,2025-11-30,20251101 - 20251130,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,39,7441,5811.0,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-11-01,2025-11-30,20251101 - 20251130,Ahmedabad-Gandhinagar,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,2,338,317.72,5753.0,Chaayos Combo Premix Pack of 12,Premix
2025-11-01,2025-11-30,20251101 - 20251130,Gurgaon,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,8,2632,2232.0,5749.0,Chaayos Masala Tea 250g,Chai Patti
2025-11-01,2025-11-30,20251101 - 20251130,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,2,378,321.3,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-11-01,2025-11-30,20251101 - 20251130,Bangalore Rural,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,1,199,149.0,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-11-01,2025-11-30,20251101 - 20251130,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194559,Chaayos tea-blendchai-adrak-elaichi-premium-flavoured 100 g,100 g,2,398,398.0,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-11-01,2025-11-30,20251101 - 20251130,Bangalore,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,46,15134,12834.0,5749.0,Chaayos Masala Tea 250g,Chai Patti
2025-11-01,2025-11-30,20251101 - 20251130,Mysore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,1,199,129.0,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-11-01,2025-11-30,20251101 - 20251130,Gurgaon,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,16,3024,2864.0,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
